hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
4,0,12.07,60.05029167,-73,38,38.3,-73.64397222,6.0096,0.3938,0.065528488,18.18388997,1.45219E-16,1.63354E+25
4,0,17.02,60.07091667,-73,40,2,-73.66722222,5.9659,0.3409,0.05714142,17.72409954,1.18258E-16,1.99138E+25
4,0,18.38,60.07658333,-73,41,35,-73.69305556,5.8655,0.398,0.067854403,18.30482409,1.53017E-16,1.51312E+25
3,59,32.03,59.88345833,-73,28,26.2,-73.47394444,5.2717,0.3209,0.060872204,17.93351126,1.30023E-16,1.60044E+25
3,59,37.84,59.90766667,-73,30,4.3,-73.50119444,5.4611,0.2021,0.037007196,16.40809388,6.16513E-17,3.49661E+25
3,59,38.87,59.91195833,-73,31,30.8,-73.52522222,5.6348,0.2743,0.048679634,17.21472044,9.29951E-17,2.39181E+25
3,59,40.67,59.91945833,-73,32,56.7,-73.54908333,5.8754,0.3207,0.054583518,17.57549221,1.10409E-16,2.10059E+25
3,59,41.96,59.92483333,-73,34,9.6,-73.56933333,6.1774,0.3639,0.058908279,17.82431322,1.23783E-16,1.96994E+25
3,59,44.73,59.936375,-73,35,29.8,-73.59161111,6.4049,0.3713,0.057971241,17.77140522,1.20842E-16,2.09219E+25
3,59,49.71,59.957125,-73,37,25.3,-73.62369444,6.3396,0.4021,0.063426715,18.07229508,1.38291E-16,1.80958E+25
3,59,50.63,59.96095833,-73,38,48.6,-73.64683333,6.3652,0.4385,0.068890216,18.35785457,1.56534E-16,1.60514E+25
3,59,55.23,59.980125,-73,40,14.2,-73.67061111,6.3345,0.4244,0.066998185,18.26060899,1.50131E-16,1.66552E+25
3,59,57.66,59.99025,-73,41,44.7,-73.69575,6.2494,0.4129,0.066070343,18.21229817,1.47024E-16,1.67787E+25
3,59,12.91,59.80379167,-73,28,39.7,-73.47769444,5.3072,0.4464,0.08411215,19.08650259,2.11174E-16,9.92048E+24
3,59,16.45,59.81854167,-73,30,11.1,-73.50308333,5.5304,0.2408,0.043541154,16.87711245,7.86715E-17,2.7749E+25
3,59,17.58,59.82325,-73,31,40.8,-73.528,5.7513,0.2492,0.043329334,16.86265543,7.80983E-17,2.90692E+25
3,59,20.18,59.83408333,-73,32,57.8,-73.54938889,6.1116,0.3409,0.055779174,17.64549271,1.14056E-16,2.11518E+25
3,59,22.08,59.842,-73,34,47.1,-73.57975,6.4109,0.4073,0.063532421,18.07796217,1.38636E-16,1.82537E+25
3,59,26.69,59.86120833,-73,36,4.3,-73.60119444,6.5294,0.3908,0.05985236,17.87708654,1.2677E-16,2.03313E+25
3,59,26.62,59.86091667,-73,37,33.3,-73.62591667,6.5743,0.3953,0.060128074,17.89240002,1.27647E-16,2.03305E+25
3,59,29.06,59.87108333,-73,38,55.4,-73.64872222,6.566,0.4439,0.067605848,18.29202449,1.52178E-16,1.70317E+25
