F60,RA,DEC,F100,RA.1,DEC.1,F90,RA.2,DEC.2,F140,RA.3,DEC.3
2.750146389,68.31598279,42.33850529,13.79992485,68.31598279,42.33850529,8.802319527,68.31598279,42.33850529,30.10748672,68.31598279,42.33850529
2.750146389,68.29569536,42.33835148,13.79992485,68.29569536,42.33835148,9.873311043,68.29569536,42.33835148,29.85962296,68.29569536,42.33835148
2.765870571,68.27540816,42.33819409,13.60644531,68.27540816,42.33819409,9.338254929,68.27540816,42.33819409,30.2232399,68.27540816,42.33819409
2.765870571,68.25512118,42.33803313,13.60644531,68.25512118,42.33803313,9.546842575,68.25512118,42.33803313,31.86274338,68.25512118,42.33803313
2.763420105,68.23483443,42.33786859,13.71712303,68.23483443,42.33786859,9.464761734,68.23483443,42.33786859,31.47431183,68.23483443,42.33786859
2.785193443,68.21454792,42.33770048,13.70896053,68.21454792,42.33770048,8.83023262,68.21454792,42.33770048,29.62408638,68.21454792,42.33770048
2.785193443,68.19426165,42.33752879,13.70896053,68.19426165,42.33752879,9.000392914,68.19426165,42.33752879,30.1469593,68.19426165,42.33752879
2.863225222,68.17397562,42.33735352,13.58592701,68.17397562,42.33735352,8.444384575,68.17397562,42.33735352,28.4341774,68.17397562,42.33735352
2.721440077,70.18245499,42.32235827,13.55897331,70.18245499,42.32235827,9.223121643,70.18245499,42.32235827,31.90913963,70.18245499,42.32235827
2.696124315,70.16217373,42.32253344,13.5284214,70.16217373,42.32253344,9.009792328,70.16217373,42.32253344,33.11332703,70.16217373,42.32253344
2.708529472,70.14189223,42.32270504,13.32464886,70.14189223,42.32270504,9.544926643,70.14189223,42.32270504,32.84703827,70.14189223,42.32270504
2.708529472,70.12161048,42.32287306,13.32464886,70.12161048,42.32287306,10.03223705,70.12161048,42.32287306,34.41739655,70.12161048,42.32287306
2.855470181,70.1013285,42.32303752,13.2661314,70.1013285,42.32303752,8.996353149,70.1013285,42.32303752,33.87640762,70.1013285,42.32303752
2.855470181,70.08104628,42.3231984,13.2661314,70.08104628,42.3231984,9.290313721,70.08104628,42.3231984,34.53091049,70.08104628,42.3231984
2.888372183,70.06076384,42.3233557,13.41816902,70.06076384,42.3233557,9.606951714,70.06076384,42.3233557,34.30630493,70.06076384,42.3233557
2.865341425,70.04048118,42.32350944,13.61392498,70.04048118,42.32350944,10.64312935,70.04048118,42.32350944,34.65684128,70.04048118,42.32350944
2.865341425,70.02019831,42.3236596,13.61392498,70.02019831,42.3236596,9.487677574,70.02019831,42.3236596,35.21551895,70.02019831,42.3236596
